,safe_address,Number of Airdrops Dumped,"Multiple Wallets, Low Safe Activity",Dumped Two Airdrops,"Low Safe Activity, ""Created Safe on Same Day","Low Owner Activity, Low Safe Activity","Dumped Previous Airdrop, Low Safe Activity",Short Activity,Low From,Low To,Number of Flags,Low Tx Own,Short Activity Own,Low Events,Low Contract,Low Addresses,Tokens Dumped,All Flags Description
2113,0x6d1f9cf37cfb93a2ec0125ba107a251f459cc575,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped BEND",", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped BEND, Dumped Two Airdrops"
3022,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
2881,0x9d0918a7bcac8e71299a90b3dc17c5a4323d2227,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
2882,0x9d0918a7bcac8e71299a90b3dc17c5a4323d2227,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
2883,0x9d0918a7bcac8e71299a90b3dc17c5a4323d2227,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped ENS, Dumped 1INCH, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3017,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3018,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3020,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3021,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3019,0xa5820c89d6400862424204a7d744dcbf639c19dc,5.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped 1INCH, Dumped AMP, Dumped UNI, Dumped DYDX, Dumped Two Airdrops"
3497,0xc4f2f4c81bd6d1f7a58a70f2dbc191d053583a69,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS",", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped Two Airdrops"
1859,0x5be7bbafc73ef2a0928a793169771663a5815d48,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI",", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI, Dumped Two Airdrops"
3223,0xb03fdfeadf240dbe80d38b2669510d7b2b1d3c63,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
3224,0xb03fdfeadf240dbe80d38b2669510d7b2b1d3c63,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
1751,0x583239e17519288e6f5e4c71de12517a54f26533,4.0,0,1,0,0,0,0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops, Low From"
2551,0x88775a10fbce61a8a1397981b07f54bbffe0f4ed,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
2550,0x88775a10fbce61a8a1397981b07f54bbffe0f4ed,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
2549,0x88775a10fbce61a8a1397981b07f54bbffe0f4ed,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
3189,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
3188,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
2548,0x88775a10fbce61a8a1397981b07f54bbffe0f4ed,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
61,0x02f3ebd01e3b02019573a9c3b19e5db804cf640d,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped X2Y2, Dumped BEND",", Dumped LOOKs, Dumped ENS, Dumped X2Y2, Dumped BEND, Dumped Two Airdrops"
3187,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
4451,0xf8acd1ae34b397b9d80f6b715747febfd04d702b,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped DYDX",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped DYDX, Dumped Two Airdrops"
4452,0xf8acd1ae34b397b9d80f6b715747febfd04d702b,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped DYDX",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped DYDX, Dumped Two Airdrops"
4384,0xf3ea6b13e3b86fdc0ad15e54532ed273942c2053,4.0,0,1,0,0,1,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped X2Y2, Dumped BEND",", Dumped LOOKs, Dumped ENS, Dumped X2Y2, Dumped BEND, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity"
326,0x150e5a3a6dbeebb6c15139074207340f81b319d8,4.0,0,1,0,0,1,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped AMP",", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped AMP, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity, Low From"
527,0x1a277d568eba7ce107c4329d5440906575382543,4.0,0,1,0,0,1,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS",", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity"
3107,0xa9b2a4f90d0ec7a7907c11e2a17ef345d04747bf,4.0,0,1,0,0,0,0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped ENS, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops, Low From"
4026,0xdb6afa405446c985a7ac29cb1bb57b2e011bf0c7,4.0,0,1,0,0,1,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped UNI, Dumped DYDX",", Dumped LOOKs, Dumped SOS, Dumped UNI, Dumped DYDX, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity"
4522,0xfc058b9b0b0cbd727152873172af3008316d3b27,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped SOS, Dumped 1INCH",", Dumped LOOKs, Dumped HOP, Dumped SOS, Dumped 1INCH, Dumped Two Airdrops"
1413,0x446ef8e168c922bfc11ab1880a8e5df4546712b9,4.0,0,1,0,0,1,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity, Low From"
3186,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
3185,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
84,0x04c5609fd503e1e7d1a97748d63ea0d6db596608,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
85,0x04c5609fd503e1e7d1a97748d63ea0d6db596608,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
1414,0x446ef8e168c922bfc11ab1880a8e5df4546712b9,4.0,0,1,0,0,1,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity, Low From"
3323,0xb74659a1011f6dca3ba6f6e22a71ba8f414f36a1,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI",", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI, Dumped Two Airdrops"
746,0x2454b76aa0f7aed508be7d6a5539e1dae022f2ca,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
3184,0xadd19b9b060a07484f31ed2cc837e8dedf0cf6b6,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
2090,0x6ba5ea5b5bbc2d99fdfb82bc7dd75b025563d047,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI",", Dumped LOOKs, Dumped SOS, Dumped 1INCH, Dumped UNI, Dumped Two Airdrops"
2396,0x7dcb6c5779123176978f717f1f74d395d220ef88,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped HOP, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped HOP, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
4406,0xf517fcf6c699c8f1492d95001e236227b992d70e,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS",", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped Two Airdrops"
878,0x2c0f8190d08a41c55e2e59b326427e29a015992f,4.0,0,1,0,0,1,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped SOS, Dumped X2Y2, Dumped BEND",", Dumped LOOKs, Dumped SOS, Dumped X2Y2, Dumped BEND, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity, Low From"
4009,0xda63d70332139e6a8eca7513f4b6e2e0dc93b693,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI",", Dumped HOP, Dumped ENS, Dumped SOS, Dumped UNI, Dumped Two Airdrops"
3496,0xc4f2f4c81bd6d1f7a58a70f2dbc191d053583a69,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS",", Dumped LOOKs, Dumped HOP, Dumped ENS, Dumped SOS, Dumped Two Airdrops"
1798,0x5a19873e158d1285f04257fbf8c21652e2d4cc99,4.0,0,1,0,0,1,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped ENS, Dumped SOS, Dumped BEND, Dumped UNI",", Dumped ENS, Dumped SOS, Dumped BEND, Dumped UNI, Dumped Two Airdrops, Dumped Previous Airdrop, Low Safe Activity, Short Activity"
1199,0x3727a14e06c2e2b5bfb16ccd0d8313b07311b44d,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
1198,0x3727a14e06c2e2b5bfb16ccd0d8313b07311b44d,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
1197,0x3727a14e06c2e2b5bfb16ccd0d8313b07311b44d,4.0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2",", Dumped LOOKs, Dumped ENS, Dumped SOS, Dumped X2Y2, Dumped Two Airdrops"
